studentid,comp_name,position,salary
696a90f70fe5e371727cd3a3c4759d27,บ้าน,อิสระ,
d99daaa05d64b10cf83b4c9ede38db39,ทรู คอปเปอเรชั่น,?,40,000
8434cde78fe8ffe26d7f611b42f272be,บริษัท ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน) ,งานที่ทำเป็นการวางแผนงานให้ช่าง,17,000
1f9846dbf3a805125d262e25d51d1d59,ธุรกิจส่วนตัว,ทำสวนทุเรียน,20000
940a2cad93f6c21dabd08109826ec462,บริษัท ซีพีไอ อะโกรเทค จำกัด,สายพืชสวน,
ad2f2671f5a14c65b7812a905700fc36,โรงพยาบาลกาญจนดิษฐ์,วุฒิการศึกษาได้ช้าเลยทำให้ไม่สามารถสมัครงานที่ตรงก,12000
2eaf9f582ed55fb1b0ab6a2a8c902dbe,GC Maintenance and engineering,สายงานตรวจสอบ,31142
aced385bd9f0eda67d61bc3240a5e418,,ฝ่ายขาย,24,000
1e14fc013661ef63dfc72e461f386510,ALS Laboratory Group (Thailand) Co.,Ltd,สายงานที่ทำเป็นในลักษณะของห้อง Lab ส่วนปริญญาโทเป็,32000
b144069b4e88a533e172cb6745a6c5f6,Babysista,ธุรกิจส่วนตัว,40000
99827bf8d53dd0b47b9663f6017e8bbb,โรงเรียนวัดสระแก้ว,เป็นครู สพฐ เลยไม่ได้ใช้ความรู้ที่เรียนมาในการสอนเ,20000
77b7254528fa057761dd149bb7148dcc,BTS infrastructure Development,-,90,0000
3ce271c0f8629cdca433be21ee861f69,King Power International,ต้องการเปลี่ยนสายงาน,26,310
90a5497fb60a54d768ce9a4d8c803d7d,พีแอนด์พี อิเลคทรอนิกส์ เทคโนโลยี,ไม่ตรงสาขานัก,55000
6ad4ed852ac598811353bef1f78e6392,Henkel Thailand LTD,ใกล้เคียงในการพัฒนาบุคคล,200,000
998f9f6aa99f744fc779bd48f9534d7c,PaintPlearnArt,ไม่ตรงแต่ได้ใช้ประโยชน์จากสิ่งที่เรียน,
5c3d8257823447c4377b42651e87a6ba,บริษัท ดับเบิลยู ไอ บี อินชัวรันส์ โบรกเกอร์ จำกัด,บริหาร,60000
20c3b113bb20a7a458489bcdd861cf16,ธนาคารออมสินสำนักงานใหญ่,งานต้องนี้เกี่ยวกับการเงิน การธนาคาร,17676
5986c3c525e25b1eac9aeede52317b1c,บมจ. อินเทอร์เน็ต ประเทศไทย,ส่วนใหญ่เป็นงานคีย์ข้อมูล,
8c0891383aa9cccc18404d1d0786e480,Allianz Technology Thailand,ใช้ทักษะวิทยาการคอมพิวเตอร์,35000
1b21647f70f638cd78855f396538860e,datafarm,ไม่มีวิชาสอน,30000
1f20e988bdb7f2a1bb5db6de66e1e384,,Software Engineer,
71f753afe8f69fe23714785ff772db7a,Swift dynamics,-,-
ee3d875f77715aed816457d571ddb333,cloudsec asia,pentester,23,000
8e204cd9b58d7b3c8837c45d5f901a20,DENSO TEN (THAILAND) Limited,เนื่องจากไปทางด้าน IT ,25000
b45313aa7bc9ac4546b3488bbe4f9912,Sirisoft company,Database,29000
22ac1fbeff099962583fab32a6440175,UTAC,ทำงานด้านอิเล็กทรอนิดส์,22000
c8ab2876916e89e0971c5710df553fb7,Tn incorporation,วิศวกรรมคอมพิวเตอร์,31500
82745c8bbfc27eec15ea47e205a615fe,Calcomp,ไม่ได้ความรู้ทางสายงานไฟฟ้า,18000
11ac4d4cfd11cae22216513eec0b1788,yic asia pacific corporation limited,ออกแบบ,19745
95aeae56e7e85878996451e0bc3779cc,บริษัท เอไอเอ จำกัด (สำนักงาน ซิกเนเจอร์),ทำงานวางแผนการเงิน,
78d19645793c67a1b742b4fab115da79,บริษัท ดิสโก้ ไฮ-เทค (ไทยแลนด์) จำกัด,เป็นสายงานทางด้านเครื่องกล,25000
0f348152956c84ed1d76731ac923f947,JL Hospitality Management, LLC,-,106140
c9f80a57d70d71bb76cc7d5cc30d41cc,Playtorium Solutions Company Limited,ไอที (Software tester),25000
d870872ea45fbbc5ea9e83fe891df6dd,Beryl8 Plus,จบ Hardware แต่ทำ Software,30000
eea4a3af7f914bc9d696ad3236e9a248,ฮอนด้า ออโตโมบิล (ประเทศไทย) จำกัด,ควบคุมคุณภาพ,25000
025f749d7a5d9b5c3f3d57b68e1de9e9,,ได้งานที่เกี่ยวกับการเงินแทน,30000
65365996c5164fe1983a09e6fef3687e,บริษัท ฟอร์ดวิร์ด แล็บส์ จำกัด,เน้นงานออกแบบมากกว่าการเขียนโปรแกรม,30000
91c76872f627ebe4855ddb08c7a7291c,Senior Com,วิศวกรรมระบบควบคุม,250000
7feb8495a44fcbd2cffb6b9cbb8dd196,เค3เอ็ม(ประเทศไทย)จำกัด,เพิ่มเติมส่วนของระบบcleanroomในโรงพยาบาล,24000
2d6c72db46b3bdc840b7b45f76656a11,บริษัท ถิรไทย จำกัด,จบสายเครื่องกลได้ทำงานในสายไฟฟ้า,21000
75e52e383f28d3ea57989300358e2352,Hayashi Telempu (Thailand) co., Ltd.,จบเคมีทำชิ้นส่วนยานยนต์,28000
69d76bb293a5c07f424af37b31d030f5,UACJ (Thailand) Co., Ltd.,ใช้ความรู้ด้านวิศวะเครื่องกลเยอะกว่าเคมี,25000
4014b95826fedf26ec8a2b257a1c3aaf,มีดีโซล่าเซลล์,เรียนเกษตรแต่ทำเกี่ยวกับไฟฟ้า,70,000
04033e04d566043f3cf16e84072a3d5b,เมคคานิคัล แอนด์ ฟู้ด โพรเซส เอ็นจิเนียรี่ง จำกัด,ทำเกี่ยวกับอุตสหกรรมอาหาร,20000
4da7103d050860f0e093124145d7fdfa,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),เป็นงานใช้แรง,12000
bdf6950118ca8ae71ac711246bb7b6d6,Boston Scientific Thailand,HR,25000
7d060897f5f229987d41c9753d408266,17 รามอินทรา,ทำงานเกี่ยวกับระบบ IT แต่จบด้านวิศวกรรมการวัดคุม,13500
1330991e5801d2ab46ed333e6b867520,Mpj,เกี่ยวกับขนส่ง,17000
b9cec586234459896a79656e7decba1c,Marx Engineering & Inspection co.,ltd,-,21000
01646933dd436e2bfd2d3ce9feb60e88,MARX ENGINEERING & INSPECTION COMPANY LIMITED ,ค่อนข้างไม่ได้ตรงกับที่เรียนมามาก แต่มีบ้างนิดหน่อ,22000
4e1e734a63e7bb3db24c0d03d5b75224,THS Development,วิศวกรวัดคุม,18000
c0e7b7a566bb1f4b0af5fbb8e4f0ab1b,วิทยาลัยป้องกันราชอาณาจักร,ไอที ,15000
dca2531e96e626cd778af5426226d0f7,บริษัท เซ็นทรัล เจดี คอมเมิร์ซ จํากัด,data analyst,29500
0ea3212de8bc6e235f1808537aa26a41,บจก. โตโยต้า ไดฮัทสุ เอ็นจิเนียริ่ง แอนด์ แมนูแฟคเจอริ่ง,Software Engineering,30000
0b396cdc5eeb12b6c0fc80adc57333ce,Ultimate technology,โปรแกรมเมอร์ AI,22000
aaff7ed9cdf217175d2324b908bc2526,บริษัท โตโยต้า ทูโช เน็กซ์ตี อิเล็กทรอนิกส์ (ไทยแลนด์) จำกัด,เน้นไปที่ซอฟท์แวร์มากกว่าตอนเรียน,24000
3443908068eacc9c64502600c3dd21fb,Nteq-polymer,จะว่าตรงก็ไม่ได้แต่จบสาขาแมคคาทรอนิกส์ที่มีพื้นฐาน,15000
db65d895b200f2ef121cbfaf7890e340,Tricor orisoft,Application consultant,
75f771351a58a3029f198c8aee30581a,Home Fitness Club,มีการใช้คอมพิวเตอร์บ้าง แต่เน้นการบริารการสื่อสาร,10000
166063e8061db7fe868191a927d47d12,บริษัท เบญจมณี จำกัด,เนื้องานครอบคลุมถึงเรื่องโครงสร้างภายนอกอาคาร มากก,20,000)
3971783175819cc3b0fb2299c02f25a8,บ้าน,งานที่ทำอยู่เป็นงานขาย ต่างจากสายงานที่เรียนมาคือง,
2a81c738c512eb28a3232bf97afbcea6,Cosmetic Lap (Soap Enterprise),มีความใกล้เคียง  เพราะมีการใช้พื้นฐานศิลปะเหมือนกั,15,000
f3aa4b99d55150d633d85b8e641cf4cb,Esquire ,ตัดต่อวิดีโอ ถ่ายภาพ สร้างคอนเท้น,20000
e01b22acc111eac44876af6005750713,ฟูจิ,ทำงานไม่ตรงสาขาที่เรียนมา  เพราะสายที่เรียนมามีการ,14,000
ba9a57b1c43c778eda6cc8f9cca36d76,Servicemind Asia,เป็นงานสายไอที,20000
003c6c73502435d0340bb9ce264cc4d1,,ทำอาหาร,15000
47b3f935b3e4f2e27fca60031d5f7ff3,บริษัท เอส.ซุปเปอร์ เคเบิ้ล จำกัด,การตลาด+กราฟฟิก,19,000
71ead6663902a2ed9d33095ff80cf810,เมโทรซิสเต็มส์คอร์ปอเรชั่น จำกัด (มหาชน) - สำนักงานใหญ่,เนื่องจากเลือกสายงาานตามประสบกสรณ์ที่มี,18,000
425a6b97d8ce737166c0951261cb390f,Denso International Asia co. ltd,Engineer but graduated education ,30,000
0a391a495cf8eb115dd877c9a6701bb4,แอดวานซ์ อินโฟร์ เซอร์วิส,งานด้านไอที สารสนเทศน์ วิศวคอมฯ,18000
a6ba0f82dfd4b641b4c743ef5c865009,บริษัท สกาย ไอซีที จำกัด (มหาชน),เพราะจบครุสาสตร์วิศวกรรมโทรคมนาคม,20,000
c4d8e906cd8b88cfea6cd289e577d27a,Ideafield,ไฟฟ้า ,18000
b573061107f1b992394bded5a33ab9d6,เจทเอ็กซ์เพรส จำกัด,เป็นงานเกี่ยวกับงานขนส่ง,20,000
